titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
movie,Project x27,The Devil Inside,2010,\N,"Horror,Thriller"
movie,Alita: Battle Angel,Alita: Battle Angel,2018,\N,"Action,Adventure,Romance"
movie,"Cargo, les hommes perdus.","Cargo, les hommes perdus.",2010,93,"Adventure,Romance"
movie,Untitled The Flash Film,Untitled The Flash Film,2020,\N,"Action,Adventure,Fantasy"
movie,Moving Target,Moving Target,2011,\N,"Drama,Thriller"
movie,Segurança Nacional,Segurança Nacional,2010,86,Action
movie,Stolen Memories,Stolen Memories,2012,\N,Documentary
movie,My Nappy Roots: A Journey Through Black Hair-itage,My Nappy Roots: A Journey Through Black Hair-itage,2010,90,Documentary
movie,Danger Close,Danger Close,2019,\N,"Action,Drama,War"
movie,Lincoln,Lincoln,2012,150,"Biography,Drama,History"
movie,Milenge Milenge,Milenge Milenge,2010,109,"Drama,Romance"
movie,Before We Go,Before We Go,2014,95,"Comedy,Drama,Romance"
movie,The History of Love,The History of Love,2016,134,"Drama,Romance,War"
movie,Vidas pequeñas,Vidas pequeñas,2010,115,Drama
movie,7 Days,Les 7 jours du talion,2010,105,"Crime,Drama,Horror"
movie,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112,"Action,Comedy,Romance"
tvMovie,The Corrections,The Corrections,2012,\N,Drama
movie,Dream Street,Dream Street,2010,\N,Drama
movie,Surviving in L.A.,Surviving in L.A.,2018,\N,"Comedy,Drama,Romance"
movie,A Bird of the Air,A Bird of the Air,2011,108,"Drama,Romance"
movie,Shazam!,Shazam!,2019,\N,"Action,Fantasy,Sci-Fi"
tvSeries,Tanging yaman,Tanging yaman,2010,\N,Drama
movie,Puss in Boots,Puss in Boots,2011,90,"Action,Adventure,Animation"
movie,Diary of a Bad Lad,Diary of a Bad Lad,2010,92,"Comedy,Crime"
movie,Mad World,Mad World,2010,98,Drama
movie,The Passing,The Passing,2011,92,Horror
movie,Clawed,Sludge,2017,95,Horror
movie,Wonder Woman,Wonder Woman,2017,141,"Action,Adventure,Fantasy"
movie,Blunt Movie,Blunt Movie,2013,83,"Comedy,Romance"
movie,Party Crashers,Os Penetras,2012,88,Comedy
movie,42,42,2013,128,"Biography,Drama,Sport"
movie,El hada buena - Una fábula peronista,El hada buena - Una fábula peronista,2010,85,"Comedy,Drama,Sci-Fi"
movie,Life of Pi,Life of Pi,2012,127,"Adventure,Drama,Fantasy"
movie,Being Flynn,Being Flynn,2012,102,Drama
movie,The Crazies,The Crazies,2010,101,"Horror,Thriller"
movie,The Equalizer,The Equalizer,2014,132,"Action,Crime,Thriller"
movie,Memorias del desarrollo,Memorias del desarrollo,2010,113,Drama
movie,Captain America: The First Avenger,Captain America: The First Avenger,2011,124,"Action,Adventure,Sci-Fi"
movie,A Long Way Down,A Long Way Down,2014,96,"Comedy,Drama"
movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102,"Crime,Thriller"
movie,Generation P,Generation P,2011,112,"Comedy,Drama,Sci-Fi"
video,One Step Beyond,One Step Beyond,2012,56,Documentary
movie,Drunkboat,Drunkboat,2010,98,Drama
movie,The Grasslands,The Grasslands,2011,114,Drama
movie,The Only Living Boy in New York,The Only Living Boy in New York,2017,89,Drama
movie,Texxas Jam '78,Texxas Jam '78,2012,60,Documentary
short,Career Day,Career Day,2016,8,"Comedy,Family,Short"
movie,Saving Private Perez,Salvando al Soldado Pérez,2011,105,"Adventure,Comedy,Western"
movie,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,2012,110,Drama
movie,High-Rise,High-Rise,2015,119,Drama
movie,Satan Hates You,Satan Hates You,2010,94,Horror
movie,Silent Alarm,Silent Alarm,2011,82,"Comedy,Drama,Thriller"
movie,Federal,Federal,2010,\N,"Drama,Thriller"
movie,The Devil You Know,The Devil You Know,2013,76,"Mystery,Thriller"
movie,"Guns, Drugs and Dirty Money","Guns, Drugs and Dirty Money",2010,123,"Action,Comedy,Crime"
movie,House at the End of the Drive,House at the End of the Drive,2014,91,"Horror,Thriller"
movie,Piranha 3D,Piranha 3D,2010,88,"Comedy,Horror,Thriller"
movie,Komaram Puli,Komaram Puli,2010,163,"Action,Crime,Thriller"
movie,Act Your Age,Act Your Age,2011,101,"Comedy,Drama"
movie,Taken by Force,Taken by Force,2010,90,Action
video,Within: Terror Resides...,Within: Terror Resides...,2011,85,"Horror,Thriller"
movie,Sensual,Sensual,2010,99,Drama
movie,Golapi Ekhon Bilatey,Golapi Ekhon Bilatey,2010,\N,Musical
videoGame,Alan Wake,Alan Wake,2010,\N,"Action,Drama,Horror"
movie,Margaret,Margaret,2011,150,Drama
movie,Alan Partridge,Alan Partridge: Alpha Papa,2013,90,"Action,Comedy,Crime"
movie,Harlem Hostel,Harlem Hostel,2010,81,"Comedy,Drama"
movie,Smoking/Non-Smoking,The Pack,2011,84,Drama
movie,Platinum Illusions,Platinum Illusions,2011,\N,"Action,Drama"
movie,Ex Machina,Ex Machina,2014,108,"Drama,Mystery,Sci-Fi"
movie,"Hot Country, Cold Winter","Tak erkir, tsurt dzmer",2016,104,Drama
movie,Tower Heist,Tower Heist,2011,104,"Action,Comedy,Crime"
movie,The Smurfs,The Smurfs,2011,103,"Adventure,Animation,Comedy"
movie,The Mechanic,The Mechanic,2011,93,"Action,Crime,Thriller"
short,Historietas Assombradas (para Crianças Malcriadas),Historietas Assombradas (para Crianças Malcriadas),2013,16,"Animation,Short"
movie,Escape from Heaven,Escape from Heaven,2018,\N,"Comedy,Fantasy"
